公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
300055,万邦达,北京万邦达环保技术股份有限公司,"Beijing Water Business Doctor Co.,Ltd.",北京市朝阳区酒仙桥路甲10号3号楼15层1506,300055,万邦达,2010-02-26,"865,184,815","865,184,815",,,,0,0,华北,北京,北京市,E 建筑业,www.waterbd.cn
300056,三维丝,厦门三维丝环保股份有限公司,"Xiamen Savings Environmental Co.,Ltd",福建省厦门火炬高新区（翔安）产业区春光路1178-1188号,300056,三维丝,2010-02-26,"385,490,443","213,729,374",,,,0,0,华东,福建,厦门市,C 制造业,www.savings.com.cn
300057,万顺股份,汕头万顺包装材料股份有限公司,"SHANTOU WANSHUN PACKAGE MATERIAL STOCK CO.,LTD.",广东省汕头保税区万顺工业园,300057,万顺股份,2010-02-26,"439,664,781","294,108,062",,,,0,0,华南,广东,汕头市,C 制造业,www.wanshun.cn
300058,蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,"BlueFocus Communication Group Co., Ltd.",北京市朝阳区酒仙桥北路9号（厂区）10幢二层A5-01,300058,蓝色光标,2010-02-26,"2,213,019,229","1,569,762,456",,,,0,0,华北,北京,北京市,L 商务服务,www.bluefocusgroup.com
300059,东方财富,东方财富信息股份有限公司,"East Money Information Co., Ltd.",上海市嘉定区宝安公路2999号1幢,300059,东方财富,2010-03-19,"4,288,779,718","3,443,863,596",,,,0,0,华东,上海,上海市,I 信息技术,www.eastmoney.com
300061,康旗股份,上海康耐特旗计智能科技集团股份有限公司,"Shanghai Conant Macroflag Group Co., Ltd.",上海市浦东新区川大路555号,300061,康旗股份,2010-03-19,"526,369,055","198,849,333",,,,0,0,华东,上海,上海市,C 制造业,www.conantoptical.com
300062,中能电气,中能电气股份有限公司,"CEEPOWER CO.,LTD.",福建省福州市仓山区金山工业区金洲北路,300062,中能电气,2010-03-19,"308,000,000","189,343,550",,,,0,0,华东,福建,福州市,C 制造业,www.ceepower.com
300063,天龙集团,广东天龙油墨集团股份有限公司,"Guangdong Sky Dragon Printing Ink Group Co.,Ltd.",广东省肇庆市金渡工业园内,300063,天龙集团,2010-03-26,"726,426,950","410,624,034",,,,0,0,华南,广东,肇庆市,L 商务服务,www.tlym.cn
300064,豫金刚石,郑州华晶金刚石股份有限公司,"Zhengzhou Sino-Crystal Diamond Co.,Ltd.",河南省郑州市高新开发区冬青街24号,300064,豫金刚石,2010-03-26,"1,205,476,595","605,655,066",,,,0,0,华中,河南,郑州市,C 制造业,www.sinocrystal.com.cn
300065,海兰信,北京海兰信数据科技股份有限公司,"Beijing Highlander Digital Technology Co.,Ltd.",北京市海淀区中关村东路1号院清华科技园科技大厦C座1902室,300065,海兰信,2010-03-26,"362,340,972","274,045,449",,,,0,0,华北,北京,北京市,C 制造业,www.highlander.com.cn
300066,三川智慧,三川智慧科技股份有限公司,"Sanchuan Wisdom Technology Co.,Ltd",江西省鹰潭高新区龙岗片区三川水工产业园,300066,三川智慧,2010-03-26,"1,040,033,262","957,680,120",,,,0,0,华东,江西,鹰潭市,C 制造业,www.ytsanchuan.com
300067,安诺其,上海安诺其集团股份有限公司,"Shanghai Anoky Group Co., Ltd",上海市青浦工业园区崧华路881号,300067,安诺其,2010-04-21,"655,544,928","432,002,617",,,,0,0,华东,上海,上海市,C 制造业,www.anoky.com.cn
300068,南都电源,浙江南都电源动力股份有限公司,"ZHEJIANG NARADA POWER SOURCE Co., Ltd.",浙江省临安市青山湖街道景观大道72号,300068,南都电源,2010-04-21,"874,136,019","592,826,681",,,,0,0,华东,浙江,杭州市,C 制造业,www.naradapower.com
300069,金利华电,浙江金利华电气股份有限公司,"Zhejiang JinLiHua Electric Co.,LTD.",浙江省金华市金东经济开发区,300069,金利华电,2010-04-21,"117,000,000","92,397,572",,,,0,0,华东,浙江,金华市,C 制造业,www.jlhdq.com
300070,碧水源,北京碧水源科技股份有限公司,"BEIJING ORIGINWATER TECHNOLOGY CO.,LTD.",北京市海淀区生命科学园路23-2号碧水源大厦,300070,碧水源,2010-04-21,"3,138,124,217","2,034,451,814",,,,0,0,华北,北京,北京市,N 公共环保,www.originwater.com
